State_Name,District_Name,Crop_Year,Season,Crop,Water level(mm),Humidity,Temperature,Area,Type_ of _Soil ,Fertilizers,Cost_ of_ Production,Production
Telangana ,ADILABAD,2009,Kharif     ,Groundnut,500,73,26,19,Sandy loam,1,195.7,27
Telangana ,ADILABAD,2009,Kharif     ,Jowar,700,73,26,29030,Clay soil,1,121.8,111
Telangana ,ADILABAD,2009,Kharif     ,Maize,650,73,26,13766,Clay soil,1,286,2776
Telangana ,ADILABAD,2009,Kharif     ,Mesta,300,73,26,42,loamy soil,1,52.2,146
Telangana ,ADILABAD,2009,Kharif     ,Moong(Green Gram),1500,73,26,10111,Sandy loam,1,167.9,53
Telangana ,ADILABAD,2009,Kharif     ,Rice,1700,73,26,37878,Clay Soil,1,213.3,23235
Telangana ,ADILABAD,2009,Kharif     ,Sesamum,600,73,26,1889,Sandy loam,1,137.9,8
Telangana ,ADILABAD,2009,Kharif     ,Soyabean,550,73,26,92093,loamy soil,1,364.4,5
Telangana ,ADILABAD,2009,Kharif     ,Urad,120,73,26,10069,Sandy loam,1,58,11
Telangana ,ADILABAD,2009,Rabi       ,Arhar/Tur,1000,73,26,3785, clay loams,1,103.3,2131
Telangana ,ADILABAD,2009,Rabi       ,Bajra,400,73,26,831,Sandy soil,1,167.9,2
Telangana ,ADILABAD,2009,Rabi       ,Dry chillies,500,73,26,162,Sandy soil,1,160.9,673
Telangana ,ADILABAD,2009,Rabi       ,Gram,900,73,26,9536,Sandy soil,1,182.5,215
Telangana ,ADILABAD,2009,Rabi       ,Groundnut,500,73,26,2206,Sandy loam,1,195.7,31
Telangana ,ADILABAD,2009,Rabi       ,Horse-gram,800,73,26,335,Sandy  soil,1,178.4,5
Telangana ,ADILABAD,2009,Rabi       ,Jowar,700,73,26,29286,Clay soil,1,121.8,114
Telangana ,ADILABAD,2009,Rabi       ,Linseed,750,73,26,102,well drained soil,1,48.8,16
Telangana ,ADILABAD,2009,Rabi       ,Maize,650,73,26,4133,Clay soil,1,286,3000
Telangana ,ADILABAD,2009,Rabi       ,Moong(Green Gram),1500,73,26,2265,Sandy loam,1,167.9,67
Telangana ,ADILABAD,2009,Rabi       ,Onion,400,73,26,545,Sandy loam,1,409.1,61
Telangana ,ADILABAD,2009,Rabi       ,Other  Rabi pulses,850,73,26,279,Sandy  soil,1,239.3,4
Telangana ,ADILABAD,2009,Rabi       ,Rice,1700,73,26,10240,Clay Soil,1,213.3,28000
Telangana ,ADILABAD,2009,Rabi       ,Safflower,100,73,26,174,well drained soil,1,42.1,5
Telangana ,ADILABAD,2009,Rabi       ,Sesamum,600,73,26,3539,Sandy loam,1,137.9,10
Telangana ,ADILABAD,2009,Rabi       ,Urad,120,73,26,413,Sandy loam,1,58,12
Telangana ,ADILABAD,2009,Rabi       ,Wheat,500,73,26,3392,Clay loam,1,140.1,20
Telangana ,ADILABAD,2009,Whole Year ,Banana,1700,73,26,188,Sandy Soil,1,339.4,25
Telangana ,ADILABAD,2009,Whole Year ,Coriander,400,73,26,726,well drained soil,1,261.3,4
Telangana ,ADILABAD,2009,Whole Year ,Sunflower,400,73,26,1576,Sandy soil,1,85.6,97
Telangana ,ADILABAD,2009,Whole Year ,Tobacco,500,73,26,12,Sandy clay,1,140.9,20
Telangana ,ADILABAD,2009,Whole Year ,Turmeric,500,73,26,5701,Clay soil,1,200.2,53
Telangana ,ADILABAD,2010,Kharif     ,Arhar/Tur,1000,73,26,47884, clay loams,0,103.3,26193
Telangana ,ADILABAD,2010,Kharif     ,Castor seed,500,73,26,188,well drained soil,1,220.9,6
Telangana ,ADILABAD,2010,Kharif     ,Cotton(lint),1000,73,26,324981,Sandy Soil,1,310.8,29232
Telangana ,ADILABAD,2010,Kharif     ,Dry chillies,500,73,26,3345,Sandy soil,1,160.9,711
Telangana ,ADILABAD,2010,Kharif     ,Groundnut,500,73,26,4,Sandy loam,1,195.7,38
Telangana ,ADILABAD,2010,Kharif     ,Jowar,700,73,26,26185,Clay soil,1,121.8,127
Telangana ,ADILABAD,2010,Kharif     ,Maize,650,73,26,13638,Clay soil,1,286,3066
Telangana ,ADILABAD,2010,Kharif     ,Moong(Green Gram),1500,73,26,10628,Sandy loam,1,167.9,74
Telangana ,ADILABAD,2010,Kharif     ,Other Kharif pulses,900,73,26,133,Sandy soil,1,179.5,20
Telangana ,ADILABAD,2010,Kharif     ,Rice,1700,73,26,62903,Clay Soil,1,213.3,28042
Telangana ,ADILABAD,2010,Kharif     ,Sesamum,600,73,26,868,Sandy loam,1,137.9,11
Telangana ,ADILABAD,2010,Kharif     ,Soyabean,550,73,26,61932,loamy soil,1,364.4,6
Telangana ,ADILABAD,2010,Kharif     ,Urad,120,73,26,10993,Sandy loam,1,58,13
Telangana ,ADILABAD,2010,Rabi       ,Arhar/Tur,1000,73,26,1648, clay loams,1,103.3,901
Telangana ,ADILABAD,2010,Rabi       ,Bajra,400,73,26,1555,Sandy soil,1,167.9,2
Telangana ,ADILABAD,2010,Rabi       ,Dry chillies,500,73,26,480,Sandy soil,1,160.9,780
Telangana ,ADILABAD,2010,Rabi       ,Gram,900,73,26,11647,Sandy soil,1,182.5,239
Telangana ,ADILABAD,2010,Rabi       ,Groundnut,500,73,26,1924,Sandy loam,1,195.7,43
Telangana ,ADILABAD,2010,Rabi       ,Horse-gram,800,73,26,317,Sandy  soil,1,178.4,5
Telangana ,ADILABAD,2010,Rabi       ,Jowar,700,73,26,14536,Clay soil,1,121.8,144
Telangana ,ADILABAD,2010,Rabi       ,Linseed,750,73,26,133,well drained soil,1,48.8,17
